mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,chroma_mean,chroma_std,rms_mean,rms_std,tempo,genre,source_file,chunk_id
-93.494385,66.82457,69.22208,29.108154,10.906341,14.842863,19.867382,17.622301,17.565256,11.632965,3.5795312,11.560324,3.1537118,13.742616,-4.810667,9.615288,8.776981,13.152494,1.6387165,6.840374,-6.0926385,8.59973,-3.9618278,9.457111,-1.1222823,8.3252735,3041.3839420443446,844.9966727118345,6912.655123197115,1903.713745639341,0.11622971754807693,0.053967488655673905,0.35406956,0.30332124,0.13374496,0.05239661,172.265625,pop,pop.00027.wav,0
-84.89859,57.39324,76.7886,31.295662,8.512515,26.06694,7.2678375,14.072378,12.76013,16.203993,8.397294,9.464107,0.9696958,10.532003,-7.8618608,12.211326,8.186325,12.162962,4.227549,9.854231,-3.251356,9.496822,-3.531188,9.4127035,-3.306582,8.994256,2922.334626952779,1118.1903790655072,6123.794508713942,2042.4681557004442,0.10926607572115385,0.06140648061021312,0.3469574,0.29929674,0.143777,0.042497024,172.265625,pop,pop.00027.wav,1
-111.75681,72.14239,79.589035,29.334457,18.292074,19.606325,11.500335,14.461336,15.195307,10.841367,8.321524,15.004079,5.0524006,12.363055,-3.109622,9.19765,5.200336,8.978323,1.6765304,9.399718,-0.9180236,8.86495,-0.62060636,9.034117,-2.3490334,7.4882264,2802.1745449488567,879.7905319470171,6398.756948617788,2194.9169978159175,0.09703650841346154,0.047022340037749265,0.3283918,0.30034488,0.13017386,0.05108333,172.265625,pop,pop.00027.wav,2
-78.30992,61.646477,81.38448,31.859398,18.922922,16.392584,8.5691185,16.803516,10.365263,13.606345,11.655679,10.52554,6.247043,10.12095,-1.4958069,9.352864,5.0393443,10.983519,6.9328127,8.26771,-2.6231136,8.706188,-8.514641,8.658507,-6.133018,7.3632183,2723.966561299352,983.7472215878989,6052.403658353365,2052.6050843357093,0.10087890625,0.056192946232005825,0.3103959,0.28269914,0.17101012,0.050491415,172.265625,pop,pop.00027.wav,3
-107.06651,69.686134,90.17318,29.383104,22.560926,13.4231205,20.612894,11.518078,20.680067,8.899541,13.771125,7.775305,9.057477,8.085361,2.9810863,8.308302,5.893444,8.741846,4.8954806,7.990726,1.999978,6.3069305,-5.3227844,4.7910566,-2.5554004,7.0487843,2377.3431776125803,926.5359319908904,5563.682767427885,2141.4514057954943,0.07235201322115385,0.04636221777444843,0.44051045,0.29229409,0.14866132,0.047119007,172.265625,pop,pop.00027.wav,4
-79.46438,59.08439,87.73657,25.777933,16.390385,13.54427,13.488857,13.791979,16.897543,8.425086,4.96101,11.295535,10.83371,10.534197,1.263907,9.484025,8.068893,9.501578,3.715192,8.287437,-1.8755455,7.0419025,-5.449773,4.455656,0.29758078,7.474188,2679.0974312459825,850.396608690216,6235.0217848557695,1789.9789854044955,0.09304011418269231,0.05875235543589398,0.40319887,0.28825912,0.15518355,0.051330082,172.265625,pop,pop.00027.wav,5
-110.29423,72.6131,95.42404,29.779148,17.01675,14.266851,19.839108,12.723239,17.895477,12.026988,12.5330515,9.9890785,8.493141,8.971876,4.2756195,8.874255,8.550764,7.8358684,4.206751,8.073511,-0.37646455,6.0716133,-5.101469,5.5988035,0.57514167,5.457744,2253.9417629250515,906.160555576809,5034.959810697115,2188.2430244779066,0.06872370793269231,0.039639079284671884,0.42703733,0.2884917,0.14480235,0.04755714,172.265625,pop,pop.00027.wav,6
-31.091084,54.802868,91.68615,22.922174,0.7279913,13.283619,12.836345,11.736645,8.420803,11.987261,2.890132,10.154156,1.879954,7.700957,3.490479,7.9420776,5.578465,7.460215,3.7314656,6.31469,-6.402181,6.1701665,-5.424129,7.919491,-1.3435217,8.420507,2467.622595514118,564.5976378899484,5395.2268629807695,1498.6066033536422,0.10039438100961538,0.029683354271530637,0.33159226,0.28273034,0.20243806,0.05105514,172.265625,pop,pop.00027.wav,7
-28.644403,37.461456,82.49554,20.37075,-2.2640064,13.044289,12.755269,13.173035,9.687043,9.473398,4.514179,8.2439,2.6562946,7.693412,-2.2173815,7.9312778,1.5564854,7.17171,3.6445184,9.104464,-1.9187177,6.6081963,-5.0317736,6.413919,-2.6553113,7.190309,2756.282337730846,682.5496991980435,5911.692457932692,1506.8849811613936,0.12291165865384615,0.04085501008369808,0.4252793,0.28369477,0.17257658,0.04426914,172.265625,pop,pop.00027.wav,8
-30.557571,36.755253,80.097084,23.89175,-3.189746,15.691798,17.571703,12.46561,12.889069,8.135155,3.3481517,11.81484,4.637718,8.743989,3.7959087,6.9246573,0.2117299,7.7096176,-1.1508808,6.913826,-4.0411415,6.18689,0.92815554,8.297543,0.42192993,6.5292645,2791.663335499104,749.1390135634294,5925.274939903846,1514.2153913172333,0.12792217548076923,0.056705766761027586,0.43484098,0.2714462,0.16798735,0.043384656,112.34714673913044,pop,pop.00027.wav,9
-24.664997,24.050304,71.3634,11.807662,-4.5334744,8.68831,12.385647,9.735683,2.1768897,7.0701942,21.17504,7.5633035,7.7540717,6.0377574,5.197307,6.7842765,6.1057563,5.793863,5.477861,4.4195232,-1.2830682,6.253494,-3.3347116,5.7784076,4.2151566,5.4649367,2899.0634619497973,356.30572805733175,6264.505709134615,759.9602391330003,0.12965369591346154,0.026054853933881347,0.41267994,0.28142196,0.1621816,0.022098837,99.38401442307692,pop,pop.00033.wav,0
-26.634449,24.549011,72.915054,11.71448,-3.7146132,10.294763,14.152119,16.66353,5.322243,6.4248743,15.142552,10.977911,5.362944,7.011257,4.340942,8.371643,3.808607,6.980038,2.1082895,6.128853,-0.98056513,5.875694,-1.2692077,5.416465,3.2637622,4.5302444,2937.4477125272333,370.4596217800935,6417.308631310096,876.6851922593349,0.13502854567307693,0.030722413758755264,0.40808967,0.27152693,0.14895025,0.028825166,99.38401442307692,pop,pop.00033.wav,1
-69.696526,66.511566,78.25192,30.450314,-1.428694,34.5121,7.306287,14.141728,5.5133348,11.408497,5.832445,10.325263,1.4557259,10.385002,4.418385,10.360352,-0.17586729,9.780177,2.181975,9.633791,4.258585,7.2138133,2.4889936,9.822026,3.0850458,6.5602307,2858.449660533472,734.6377888599515,6250.343487079327,1930.3363361782842,0.12995793269230768,0.047028567275448886,0.44320664,0.30528224,0.13809878,0.048341997,66.25600961538461,pop,pop.00033.wav,2
-126.937485,44.849327,95.73924,27.107956,-44.074562,18.45755,-11.196554,12.591416,-18.757132,12.66507,0.8837203,12.82659,-8.861723,12.665201,-21.883638,9.440758,12.75666,11.749622,-6.6224093,8.429753,-10.130404,10.019245,-19.206533,9.237527,-0.6039742,5.3702188,2152.2449932345367,598.1361512465276,3980.826697716346,1021.9659405866198,0.10797400841346154,0.04248709040100983,0.26217148,0.30239636,0.13440384,0.057795595,103.359375,pop,pop.00033.wav,3
-117.824745,45.072292,70.44035,37.5792,-39.901474,22.516151,-3.6540608,17.86682,-12.093401,13.21155,-7.8764396,15.565806,-12.382142,11.0481415,-14.748066,7.812164,-4.379596,11.171362,0.13381638,7.541322,-10.325699,6.2968893,-7.525354,8.4122505,-2.0904524,6.073501,2842.687726788891,1254.564517152658,5013.343787560096,1887.7325434057202,0.16850210336538463,0.09989186173315877,0.33007333,0.30089146,0.09501682,0.03648529,198.76802884615384,pop,pop.00033.wav,4
-48.31528,39.21475,74.36753,14.504466,-11.113556,16.459486,10.839019,11.4913845,-2.4853075,16.485332,14.300872,22.255585,5.0031686,11.5051,-1.0636597,12.950548,-10.754256,12.1803465,5.0814295,6.047487,-5.6910987,8.555777,-6.718151,9.343529,-6.6211047,7.8504715,2763.9556856601516,391.2665702778693,5903.576096754808,973.953608537608,0.13573091947115384,0.030565330151379987,0.4271035,0.27928773,0.14052205,0.043702655,198.76802884615384,pop,pop.00033.wav,5
-209.51105,208.56978,63.266014,19.203985,-1.6845572,10.71249,20.039345,10.762836,10.510575,5.8399177,18.492838,9.219006,9.896876,4.9653544,7.532818,6.441799,4.3037944,4.3395514,5.0905404,4.276913,2.3882747,3.5696747,4.018735,4.42407,1.3701012,2.997334,3181.831796230366,690.3754066595927,6852.444974459135,1501.678994824392,0.14659329927884615,0.057268230876854065,0.60545033,0.23505375,0.09408922,0.084615156,49.69200721153846,pop,pop.00033.wav,6
-30.685345,29.67385,67.08657,15.638818,-2.516122,15.010095,20.47279,12.253009,4.8675323,7.2717853,22.737612,7.7845073,9.791056,9.455343,6.3519826,6.148991,2.686455,6.630409,3.543682,5.9123454,3.1550014,6.7459407,2.8284707,5.7172384,4.557514,6.3621597,2940.238078544079,440.51939601384885,6332.9150390625,916.6899798650938,0.13113356370192308,0.03367251224360248,0.48611262,0.27590132,0.16309626,0.02561039,99.38401442307692,pop,pop.00033.wav,7
-22.00769,22.092691,73.08293,11.332336,-8.319783,8.416661,11.186363,9.679176,2.357792,7.609222,19.411545,7.422787,8.401446,6.98136,4.8989596,6.7611375,6.3757725,6.0408177,7.2709217,5.552564,0.6015746,6.875586,-2.6504078,5.5568247,3.8942373,5.030297,2851.9537867878635,346.67981123320567,6163.382474459135,757.5518430905227,0.13072791466346154,0.028613562530251154,0.44138962,0.27549225,0.1624721,0.022751935,99.38401442307692,pop,pop.00033.wav,8
-18.518469,21.417385,73.90858,8.577142,-7.912131,7.9638786,13.695001,10.331758,2.1999938,7.484576,17.199306,7.323168,5.499227,6.477312,4.341106,7.4696574,4.732942,5.8548956,4.528646,6.7139106,1.2073134,5.435307,1.1308284,5.9968004,5.2623816,4.957921,2877.5056035448197,310.15090584958074,6175.8054762620195,644.0987944692367,0.14224384014423078,0.032759662865594445,0.43528214,0.2681958,0.15254895,0.02493726,99.38401442307692,pop,pop.00033.wav,9
-129.7358,87.216835,27.791946,29.732077,27.142664,26.678885,17.484444,18.375925,18.754633,13.302698,-1.2817937,13.486223,4.721939,12.856226,-0.68596107,12.406274,5.7223725,9.176105,0.107981406,7.7240434,-2.5629766,8.76066,4.4155164,8.531493,3.0058897,6.967095,4700.819905589134,1318.1114914215884,8845.508563701924,1486.1240218582368,0.2857797475961538,0.1448438030706514,0.4135023,0.30153218,0.08631195,0.04447825,95.703125,pop,pop.00032.wav,0
-165.91148,86.32557,47.44634,35.34556,32.89502,25.389278,23.86775,20.127249,21.758429,14.746612,-0.9960224,9.290057,4.7151423,14.354509,1.3294338,15.423036,12.605653,12.662133,2.453626,9.025081,-4.219593,10.270212,-3.505681,8.941753,1.9396161,6.524216,3806.9007166962965,1340.6858426039532,7998.342660757212,2043.3377887102545,0.17178485576923078,0.12011868049867105,0.4080703,0.3118121,0.089166686,0.048358172,95.703125,pop,pop.00032.wav,1
-158.3374,80.552635,29.002874,35.477314,27.058582,29.726713,7.3645105,26.650566,20.720572,15.758412,-4.069739,20.225311,-0.18579271,10.144383,-2.908603,12.475935,3.697145,14.457396,-0.14671431,9.683231,-0.1559454,10.221474,-5.110656,10.860041,-0.30571476,9.771207,4663.862487046497,1351.4766670668064,9065.230055588941,1261.6957881496623,0.2381610576923077,0.14847097983353919,0.41704476,0.3277202,0.082279906,0.04417807,95.703125,pop,pop.00032.wav,2
-100.64944,70.73631,37.16606,28.945065,29.660234,23.607643,2.53076,19.586014,18.691486,17.06992,5.639874,10.776414,1.841423,11.907002,-5.193266,14.620813,3.4586644,15.42899,3.208097,10.178043,4.3198776,7.758725,0.5414888,5.064717,0.7574053,9.647207,4667.156255565999,1261.9580581379334,9002.866586538461,1331.395987292114,0.26990309495192305,0.12374249516097996,0.43555087,0.3027727,0.10468995,0.044884898,95.703125,pop,pop.00032.wav,3
-118.52487,52.96007,47.658592,23.900608,24.615057,24.041868,4.094406,19.302446,20.076294,17.70932,-5.511964,15.708074,-1.6200955,10.217444,4.670917,10.7862625,7.468184,11.140781,2.083702,9.282148,2.3213518,9.445798,6.944837,9.0218725,4.9698944,8.434978,4164.24618303774,1383.469748685421,8601.023888221154,1186.8230131204932,0.20582181490384616,0.14165641830806186,0.40433013,0.30120257,0.100905254,0.041139822,95.703125,pop,pop.00032.wav,4
-131.26115,82.806496,47.223877,37.373478,33.634636,27.320948,13.955194,20.694061,21.095514,13.810537,3.29403,15.487797,2.639436,9.186381,1.4441172,12.959533,7.703885,11.975837,1.5774821,11.266169,3.2449045,9.311085,2.6773062,6.835523,9.082336,9.362906,4081.668914139886,1671.1938097178565,8205.723970853365,1687.0330513992901,0.21551607572115383,0.18698385811978063,0.45422935,0.29275563,0.10382105,0.04352209,95.703125,pop,pop.00032.wav,5
